rec_0,rec_1,rec_2,rec_3,rec_4,vanilla,CoT,LLM_Guided_CoT,DRE,GAG,MA,MAGAG
"Bestlight PT-12B 12W 1.4""/35mm 5600K/3200K Ultra Thin Bi-Color LED Video Light Dimmable Flat Panel On-Camera Light Pad for Canon Nikon Pentax Olympus Samsung Panasonic JVC DSLR Cameras DV Camcorders","Bestlight 0.6""/1.5cm Ultra Thin BLPad-22 112-LED Video Light Dimmable Flat Panel On-camera Light Pad for Canon Nikon Pentax Olympus Samsung Panasonic JVC DSLR Cameras DV Camcorders","VILTROX L132T 0.78""/2cm Ultra Thin CRI95 5600K/3300K LED Video Light Dimmable Flat Panel On-Camera Light Pad for Canon Nikon Pentax Olympus Samsung Panasonic DSLR Cameras DV Camcorders","Neewer 0.6""/1.5cm Ultra Thin 11W 112-LED Video Light Kit Dimmable Flat Panel On-camera Light Pad for Canon Nikon Pentax Olympus Samsung Panasonic JVC DSLR Cameras DV Camcorders,Kit Includes: (1)Ultra Thin 112-LED Dimmable Video Light Pad for DSLR Cameras Camcorder+ (1)Li-Ion Battery Pack Replacement for Sony Camcorder NP-F550/ NP-F570 + (6)2800mAh Alkaline AA Lithium Batteries","Mcoplus LED410A CRI95+ 0.98""/2.5cm Ultra-Thin Studio Video LED Light Photography Lighting for Canon Nikon Pentax Panasonic Sony Samsung Olympus DSLR Camera & Camcorders",Professional LED Video Light Kit for DSLR Cameras & Camcorders,Ultra Thin LED Video Light Kit for DSLR Cameras,Ultra Thin LED Video Light for DSLR Cameras & Camcorders,Professional LED Video Lights for DSLRs and Camcorders,Ultra Thin LED Video Lights for DSLR and Camcorders,Ultra Thin LED Video Light Kit for DSLR Cameras & Camcorders,Ultra Thin LED Video Light Kit for Canon Nikon DSLRs
"Cable Matters Gold Plated Bluetooth 4.0 Low Energy USB Adapter for Windows 8.1, 8, 7, Vista, XP in White","Cable Matters USB Bluetooth Adapter (USB to Bluetooth 4.0 Adapter) for Windows 10, 8.1, 8, 7, Vista, XP, Raspberry Pi in Black","Bluetooth Adapter for PC, 5.0 USB Bluetooth Adapter，Bluetooth Dongle, Bluetooth USB for Computer Desktop, Speakers,PC Windows, Long Range Wireless, Black",SANOXY® Mini USB 2.0 Bluetooth Dongle Ver 4.0 Adapter Dongle for Windows 2000/XP/Vista/7/8/98/98se/Me/Vista (Round Shape Bluetooth ver 4.0 Black),"hudiemm0B USB Bluetooth Adapter, Mini 4.0 USB Bluetooth Audio Adapter Receiver for Laptop Windows 8/10 Mac Linux Black",Bluetooth USB Adapters for Windows in Black and White,Bluetooth USB Adapters for Windows and More in Various Colors,"USB Bluetooth Adapter for Windows, Black, Version 4.0","Bluetooth 4.0 USB Adapter for Windows, Black",Bluetooth USB Adapters for Windows in Black,Bluetooth 4.0 USB Adapters for Windows in Black Collection,Bluetooth Adapter for Windows in Black
Bushnell Voyager 570 x 60mm Rotary Refractor Telescope,Bushnell 78-9512 Deep Space 420 x 60mm Refractor Telescope,Bushnell Deep Space 150 x 50mm Refractor Telescope,Bushnell Astronomical Voyager with Sky Tour 700mm x 60mm Refractor Telescope,Bushnell Voyager Sky Tour 60mm Reflector Telescope,Bushnell Telescope Collection for Stargazing Enthusiasts,Bushnell Telescope Collection: Explore the Stars with Precision,Bushnell Telescope Collection for Astronomical Exploration,Bushnell Telescope Collection for Stargazing Enthusiasts,Bushnell Telescope Collection: Explore the Stars with Precision Magnification,Bushnell Voyager Deep Space Astronomical Refractor Telescope Collection,Bushnell Refractor Telescopes with Deep Space and Sky Tour
"HP 17.3"" Full HD (1920 x 1080) Laptop, Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Windows 10 Home, Natural Silver (17-by4633dx)","HP 15.6"" Full HD (1920 x 1080) Laptop, Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Windows 10 Home, Natural Silver","HP Laptop Computer 17-cn0273st 17.3"" FHD (1920 x 1080) Intel Core i3-1125G4, Intel UHD Graphics, 8GB DDR4 RAM, 512GB SSD Storage, Windows 11 Home, Natural Silver (Renewed)","HP Laptop 14-dq2013dx 14"" HD (1366 x 768) Touchscreen Intel Core i3-1115G4, Intel UHD Graphics, 8GB DDR4 RAM, 256GB SSD Storage, Windows 10 Home S, Natural Silver (Renewed)","HP Envy 17.3 Inch FHD Touch-Screen 512GB SSD 32GB Optane i7 2-in-1 Laptop (12GB RAM, Quad-Core i7-1065G7, GeForce MX330, Windows 10 Home) Natural Silver 17M-CG0013DX (Renewed)","HP Laptop Collection: Intel Core, SSD, Windows, Full HD, Natural Silver","HP Laptop Collection: Powerful Intel Core, SSD, Full HD, Windows",HP Full HD Laptop Collection with Intel Core Processors,"HP Envy 17.3"" FHD Touch-Screen 512GB SSD i7 12GB RAM Windows 10 Home Silver Renewed",HP Full HD Intel Core Laptop Collection,HP Full HD Laptop Collection with Intel Core Processors,HP Laptop Full HD Intel Core i5 8GB RAM 256GB SSD Windows 10 Home Natural Silver
"BAIGIO Napa Leather Briefcase, Travel 14 Inches Laptop Shoulder Bag for Men&Women, Multi-pocket Business Tote Bags","BAIGIO Napa Leather Briefcase, Travel 14 Inches Laptop Shoulder Bag for Men&Women, Multi-pocket Business Tote Bags",BAIGIO Men's Genuine Leather Briefcase Business 14 Inch Laptop Messenger Bag Slim Bag,"YOGCI Napa Leather 16"" Laptop Briefcase Business Messenger Bag With YKK Zipper Brown",Leather Briefcase Messenger Bag for Men Computer Laptop Bag Waterproof Business Travel Tote 14 Inch,Premium Leather Laptop Bags for Business Professionals,Premium Leather Laptop Messenger Bag for Business Travel,Premium Leather Laptop Briefcase Collection for Business Professionals,Luxury Leather Business Bags for Men and Women,Premium Leather Laptop Bags & Briefcases for Business Professionals,Napa Leather Business Laptop Briefcases for Men and Women,Leather Laptop Briefcases for Business with Multi-pocket Organization
"3 Pack Cable Management Box Wooden Style Cord Organizer Box with Cover Power Strip Cable Management Box Cord Hider Box, Black","ShellKingdom Cable Management Box, 3 Pack Cable Organizer for Cable Cord Management, Storage and Holder to Cover and Hide & Power Strips & Cords (Black 3 Set)","[Set of 3] 3 Cable Management Boxes, Large Cord Box Organizers to Hold and Hide Power Strip Charger Adapter Power Cord Charging Station Box Cable Organizer Box","3 Rolls Black Cable Grip Strip, Cord Cover Floor Cable Protector Cable Management for Hold Cords and Keep Cables Organized - 3” Width X 10’ Length","Suwimut Set of 3 Cable Management Box, 3 Size Cord Hider Box Cable Organizer Box to Cover and Hide Surge Protector, Power Strips, Cords from TVs Computers on Desk or Floor - Black",Complete Cable Management Solution Set for Home and Office,Complete Cable Organization Set for Home and Office,"Comprehensive Cable Management Solutions: Cord Organizer, Power Strip Holder",Black Cable Management Box Set for Power Strips and Cords,Black Cable Management Set with Storage Holder and Cord Grip,Complete Cable Management Solution,Black Cable Management Box Set for Power Strip Organization
"PINSO Pinson Travel Carrying Case Compatible With Backbone One Controller, Extra Room for Accessories (gray)",ROISKIN Dual Layer Heavy Duty Shockproof Impact Resistance Protective Case with Kickstand for P-White Case,Evecase LeapKiz Multi Function Protector Case [GREEN] with Kick stand for Leapfrog LeapPad 2 New Generation,"DETUOSI Silicone Case for Teclast M40/P20HD with Stylus Pen & Strap, Multi-Angle Case, Soft Lightweight Protective Cover for Teclast P20S, Teclast M40 Plus, Pritom Tronpad L10, Dark Green","MEIZE Tablet Case for 10 inch, Anti-Slip Soft Silicone Case, Compatible with MEIZE K118 (Grey)",Versatile Protective Cases for Tablets in Various Colors,Ultimate Protective Cases for Tablets & Controllers in Stylish Colors,Multi-Function Protective Case for 10 Inch Devices with Kickstand & Compatibility,Tech Accessories Collection for Travelers and Gamers,Variety of Protective Cases for Different Devices,Multi-Function Shockproof Protective Cases,"Multi-Function Protective Case with Kickstand, Compatible in Gray/Green"
"ANRAN Outdoor Security Camera, 1080P HD WiFi Home Surveillance Camera with 2-Way Audio,IP66 Waterproof,Night Vision,Motion Detection,Email Alert,Remote Access(32GB SD Card Included)","Outdoor Porch Light Security Camera, 1080P HD Wll-Light Camera Built-in AI Motion Detection,2-Way Audio, SD Card Included,Cloud Storage, 1500-Lumen Brightness, Weatherproof",XIMI-V 1080P HD Wireless Security Camera Outdoor with Motion Detection and Two-Way Audio,"Outdoor Security Camera by ESCAM, WiFi Onvif IP Cam for Home Security System - HD 1080P, Motion Detection, H.265, Ethernet, SD Card Slot Support Max to 128G","Freecam Security Camera Outdoor, 1080P Wi-Fi Cameras,Home Security Cameras with Motion Detection,Two-Way Audio,Night Vision,Siren Alarm,Built-in Micro SD Card&Support Cloud Storage","Advanced Outdoor Security Cameras with HD, WiFi, and Motion Detection","Advanced Outdoor Security Cameras with HD, WiFi, and AI","Advanced Outdoor Security Camera System with 1080P HD, WiFi, Motion Detection, Two-Way Audio, Night Vision",Ultimate Outdoor Security Camera with 1080P HD & WiFi,Advanced Outdoor Security Cameras with HD Resolution and Smart Features,"Advanced Outdoor Security Camera with 1080P HD, WiFi, Motion Detection",Ultimate Outdoor Security Camera Collection with 1080P HD
HDE Clear Back Cover Protector for iPad 2nd & 3rd Gen,Silicone Cover for Apple iPad 2 and iPad 3,Nextware Clear Screen Shield for iPad 3,TFY iPad 4 / iPad 3 / iPad 2 case Cover with Hand Strap,Speck Products ComfyShell Case for iPad 3 and iPad 2 with Cushion,iPad Protection Bundle with Clear Covers and ComfyShell Case,iPad Protection Essentials Bundle,"iPad Cover Protector for iPad 2nd, 3rd Gen with Clear Screen Shield","iPad Accessories Collection: Covers, Cases, Protectors, and More","iPad Accessories Collection: Covers, Protectors, and Cases for Various Models",iPad Cover Protector Case Collection,iPad Protective Covers and Cases Collection
AmScope LED-144-YK 144-LED Microscope Ring Light with Adapter,C-Mount Camera Adapters for Olympus Microscope (0.5X),AmScope LED-144A 144-LED Lighting-Direction-Adjustable Microscope Ring Light with Adapter for Stereo Microscopes,"AmScope LED-64-ZK Microscope Ring Light with Adapter, white",ESSLNB Biological Microscope with Phone Adapter 40X-2000X Binocular Microscope NA1.25 Abbe Condenser X/Y Mechanical Stage,Microscope Accessories Bundle for Enhanced Viewing Experience,Microscope Accessories Bundle with LED Ring Lights and Adapters,Microscope Accessories Bundle with LED Lighting and Phone Adapter,"Microscope Accessories Bundle: LED Lighting, Camera Adapters, and More",Diverse Microscope Accessories and Adapters,Advanced Microscope Accessories Collection with LED Ring Light,Advanced LED Microscope Ring Light Adapter for Various Microscopes
"Original Cow Pie Large Specialty Chocolate Candy Cluster - Caramel, Nuts and Rich Wisconsin Milk Chocolate. 2.5 Oz. (3 Pack Muti)","Crosse & Blackwell Mincemeat Filling and Topping 29 Ounce Made With Heirloom Pippin Apples, 2 Pack","Hot Tamales Cinnamon Candy Variety 3 Pack - 3 Alarm Mix, Tropical Heat, and Fierce Cinnamon - 15 oz Net Weight",DinDon Fruity's Ju-C Jelly Delicacies Golosinas De Sabores Assorted Flavors Pack of 3,Lot of 8 Boxes of Slim Fast Chocolate Cookie Dough Protein Meal Bars,"Delicious Variety Pack: Cow Pie, Mincemeat, Hot Tamales, Ju-C Jelly, Slim Fast",Delicious Variety Pack,Delicious Assorted Chocolate Treats and Protein Bars Variety Pack,Delicious Chocolate Caramel Nut Clusters 3 Pack,"Delicious Candy Clusters, Apple Mincemeat, Cinnamon Variety, Jelly Delicacies, Protein Bars",Assorted Flavors Variety Pack - 3 Pack Assortment,"Assorted Chocolate Variety Pack - Large Cluster, Pack of 3"
TaylorHe 15.6 inch 15 inch Laptop Skin Vinyl Decal with Colorful Patterns and Leather Effect Laminate MADE IN BRITAIN Pink Leopard Print,TaylorHe 15.6 inch 15 inch Laptop Skin Vinyl Decal with Colorful Patterns and Leather Effect Laminate MADE IN BRITAIN Pink Rose,TaylorHe 15.6 inch 15 inch Laptop Skin Vinyl Decal with Colorful Patterns and Leather Effect Laminate MADE IN BRITAIN Colourful Cameleon,TaylorHe 15.6 inch 15 inch Laptop Skin Vinyl Decal with Colorful Patterns and Leather Effect Laminate MADE IN BRITAIN Colourful Patterns,TaylorHe 15.6 inch 15 inch Laptop Skin Vinyl Decal with Colorful Patterns and Leather Effect Laminate MADE IN BRITAIN Cool Lion,Vibrant Laptop Skins with British Flair and Unique Designs,Colorful Laptop Skin Collection with British Flair,"Colorful Laptop Skin Collection with Leather Effect, Made in Britain",British-Made Colorful Laptop Skins with Unique Designs,"TaylorHe 15.6"" Laptop Skin Collection: Colorful Patterns Made in Britain",Colorful Laptop Skins Collection Made in Britain,TaylorHe Colorful Patterns 15.6 inch Laptop Skin Decal
PK Power 3-Prong AC Power Cord Outlet Socket Cable Plug Lead for HP 8121-0840,SoDo Tek TM 6 FT 3 Prong AC Power Cord Cable Plug for HP Omni 120-1333w Desktop PC,５ Ft 3 Prong AC Laptop Power Cord Cable for Dell IBM Hp Compaq Asus Sony Toshiba Lenovo Acer Gateway Notebook Computer Charger Spare: IEC-60320 IEC320 C5 to NEMA 5-15P,5FT 3 Prong AC Power Cord Cable IEC-60320 IEC320 C5 to NEMA 5-15P for Dell IBM Hp Compaq Asus Sony Toshiba Lenovo Acer Gateway Notebook Computer Charger Spare,6FT 3 Prong AC Power Cord Cable IEC-60320 IEC320 C5 to NEMA 5-15P for Dell IBM Hp Compaq Asus Sony Toshiba Lenovo Acer Gateway Notebook Computer Charger,Universal Laptop Power Cord Collection for Various Brands,"Power Cord Variety Pack for HP, Dell, IBM, Asus, Sony: 3 Prong","Universal Laptop Power Cord for Dell, HP, Asus, Sony",Universal Laptop Charger with 3-Prong AC Power Cord,"Laptop Power Cords & Chargers for HP, Dell, IBM, Asus",Universal Laptop Charger Spare Power Cord Cable,Universal AC Power Cord Cable Plug for Various Brands
Egoway 65W AC Power Adapter Charger for Microsoft Surface Book Pro 3 Pro 4 Pro 5 Pro 6 with USB Charging Port,"IQMACT 12V 2.58A 36W Power Supply Charger Compatible with Microsoft Surface Pro 3 Pro 4 Pro 5, Windows Laptop Tablet AC Adapter Cord Replacement with USB 5V 1A Charging Port",36W 12V 2.58A Power Adapter Charger Compatible with Surface Pro 3 Pro 4 (Intel Core i5 i7) Pro 5-2017 with USB Charging Port and 6ft Cord,36W 12V 2.58A Power Adapter Charger Compatible with Microsoft Surface Pro 3 Pro 4 i5 i7 Surface Pro 5 with USB Charging Port,"36W 12V 2.58A AC Power Supply Adapter Charger for Microsoft Surface Pro 3 Pro 4 with USB Charging Port, fits Model 1625",High-Quality Power Adapters for Microsoft Surface Pro Series,High-Quality Power Adapters for Microsoft Surface Pro Series,Microsoft Surface Pro Power Adapter Charger with USB Port,High Power Chargers for Microsoft Surface Devices,Microsoft Surface Charger Bundle with USB Charging Port,Microsoft Surface Power Adapter Charger with USB Port Bundle,Microsoft Surface Compatible Power Adapter Charger with USB Port
"Ideal 85-332 2-Way Digital Cable Splitter, 2.3 GHz","Ideal 85-333 3-Way Digital Cable Splitter, 2 GHz","IDEAL Industries INC. 85-334 4-Way Digital Cable Splitter, 2.4 GHz","Ideal 85-138 8-Way Digital TV Splitter, 12 MHz-1 GHz Bandwidth","IDEAL Industries INC. 85-132 2-Way Digital Cable Splitter, 1 GHz",Digital Cable Splitters for Various Bandwidths and Configurations,High-Performance Digital Cable Splitters for Various Bandwidth Needs,High-Performance Digital Cable Splitters with Wide Frequency Range,Digital Cable Splitters: Ideal for Clear Signal Distribution,High-Performance Digital Cable Splitters for Various Signal Needs,Digital Cable Splitters: 2-8 Way Options,Digital Cable Splitter - Ideal 85 Series
Toshiba MD20F52 20-Inch Flat TV/DVD Combo,Toshiba MD14FN1 14-Inch Flat Screen TV-DVD Combo,Toshiba MD20FP1 20-Inch Flat Screen TV/DVD Combo,Toshiba MD20FL1 20-Inch Flat-Screen TV-DVD Combo,Toshiba 23HLV85 23-Inch TheaterWide Flat Panel HD-ready LCD TV/DVD Combo,Toshiba TV/DVD Combo Collection - Various Screen Sizes,Toshiba TV/DVD Combos: 14-23 Inch Flat Screen Options,Toshiba Flat Screen TV/DVD Combo Collection,Toshiba TV-DVD Combos: Various Sizes and Features Available,Toshiba Flat Screen TV/DVD Combos in Various Sizes,Toshiba Flat Screen TV/DVD Combo with HD-ready Display,Toshiba Flat Screen TV/DVD Combos in Various Sizes
Escort 0100009-1 Qi45 Quick Install Radar/Laser,RadarHAWK SE Instant Wireless Radar Detector,Beltronics PRO200 Radar/Laser Detector,Bel-Tronics BEL 745STi Plus Radar/Laser Detector,Escort Passport 9500IX Radar/Laser Detector (Black),Advanced Radar/Laser Detectors Collection for Instant Wireless Protection,Ultimate Radar/Laser Detector Collection for Enhanced Safety,Advanced Wireless Radar/Laser Detectors by Escort Passport,"Advanced Radar and Laser Detectors Collection - Instant, Wireless Technology","Advanced Radar/Laser Detectors Collection: Escort, Beltronics, and More",Advanced Radar/Laser Detectors with Wireless Technology,Radar/Laser Detectors Collection
